*WARNING***The original 7-coeficient polynomials can accept molecules 
containing only four different elements. The new CHEMKIN program was changed to  
accept polynomials with 5 diferent elements. See the CHEMKIN manual.  

THERMO ALL
   200.000  1000.000  6000.000
AIR               L 9/95  WARNING!         0G   200.000  6000.000 1000.        1
 3.08792717E+00 1.24597184E-03-4.23718945E-07 6.74774789E-11-3.97076972E-15    2
-9.95262755E+02 5.95960930E+00 3.56839620E+00-6.78729429E-04 1.55371476E-06    3
-3.29937060E-12-4.66395387E-13-1.06234659E+03 3.71582965E+00-1.50965000E+01    4
AL(cr) REF ELEMEN CODA89AL  1    0    0    0S   200.000   933.610  933.61      1  
 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
 0.00000000E+00 0.00000000E+00 1.01040191E+00 1.20769743E-02-2.62083556E-05    3
 2.64282413E-08-9.01916513E-12-6.54454196E+02-5.00471254E+00 0.00000000E+00    4
AL(L) REF ELEMENT CODA89AL  1    0    0    0L   933.610  6000.000 1000.        1  
 3.81862551E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-9.49651808E+01-1.75229704E+01 3.81862551E+00 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-9.49651808E+01-1.75229704E+01 0.00000000E+00    4
AL                J 6/83AL  1    0    0    0G   200.000  6000.000 1000.        1  
 2.53385701E+00-4.65859492E-05 2.82798048E-08-8.54362013E-12 1.02207983E-15    2
 3.89045662E+04 5.37984179E+00 3.11112433E+00-3.59382310E-03 8.14749313E-06    3
-8.08808966E-09 2.93132463E-12 3.88283390E+04 2.84045730E+00 3.96535695E+04    4
ALH               J 6/63AL  1H   1    0    0G   300.000  5000.000 1000.        1  
 3.33668980E+00 1.28778640E-03-4.98699410E-07 9.22946330E-11-6.34516940E-15    2
 3.00917610E+04 3.09548828E+00 3.65768570E+00-1.97446980E-03 6.86633980E-06    3
-6.20414040E-09 1.86631030E-12 3.01464580E+04 2.08851108E+00 3.11985222E+04    4
ALO               J12/79AL  1O   1    0    0G   300.000  5000.000 1000.        1  
 3.31390640E+00 1.04524210E-03 2.74855330E-07-1.79286060E-10 1.99878130E-14    2
 7.09433360E+03 7.20963426E+00 2.81161030E+00 3.95842610E-03-3.36953040E-06    3
 6.73304970E-10 4.00894550E-13 7.06550370E+03 9.20895756E+00 8.05147516E+03    4
ALOH              J12/67AL  1O   1H   1    0G   300.000  5000.000 1000.        1  
 3.68606740E+00 3.36368220E-03-1.24662440E-06 2.13822050E-10-1.38983190E-14    2
-2.30461050E+04 3.69015562E+00 2.61322110E+00 2.77168940E-03 7.41578300E-06    3
-1.13546020E-08 4.55695590E-12-2.25867970E+04 1.00753303E+01-2.16392416E+04    4
ALO2              J12/79AL  1O   2    0    0G   300.000  5000.000 1000.        1  
 6.60646410E+00 1.08022520E-03-5.22293440E-07 1.13242200E-10-8.52909680E-15    2
-1.25324320E+04-8.01717584E+00 3.25451480E+00 1.42758440E-02-2.11032480E-05    3
 1.50562590E-08-4.21426140E-12-1.18125820E+04 8.30255496E+00-1.03664132E+04    4
ALO2H             J12/68AL  1O   2H   1    0G   300.000  5000.000 1000.        1  
 6.42643460E+00 3.22303620E-03-1.21393480E-06 2.10745000E-10-1.38280000E-14    2
-5.76261540E+04-7.45759253E+00 2.48004560E+00 1.61492640E-02-1.60335240E-05    3
 6.44661660E-09-4.09947690E-13-5.66827590E+04 1.23070710E+01-5.53546581E+04    4
AL2O              J12/79AL  2O   1    0    0G   300.000  5000.000 1000.        1  
 6.77206270E+00 8.25500920E-04-3.62910010E-07 6.95313000E-11-4.73452110E-15    2
-1.96431970E+04-8.77233125E+00 4.07326560E+00 1.13076130E-02-1.65651620E-05    3
 1.17842840E-08-3.30055030E-12-1.90542300E+04 4.40834835E+00-1.74618202E+04    4
AL2O2             J12/79AL  2O   2    0    0G   300.000  5000.000 1000.        1  
 9.15909760E+00 9.68539270E-04-4.32585130E-07 8.51788400E-11-6.16153700E-15    2
-5.04280590E+04-1.91564680E+01 2.75964110E+00 2.99975990E-02-5.21904970E-05    3
 4.22826860E-08-1.30753600E-11-4.92260320E+04 1.11007720E+01-4.74536598E+04    4
AL2O3(S)          J12/79AL  2O   3    0    0S   300.000  2327.000 1000.        1  
 1.18336660E+01 3.77088780E-03-1.78631910E-07-5.60088070E-10 1.40768250E-13    2
-2.05711310E+05-6.35998350E+01-4.91383090E+00 7.93984430E-02-1.32379180E-04    3
 1.04467500E-07-3.15663300E-11-2.02626220E+05 1.54780730E+01-2.01540284E+05    4
AL2O3(L)          J12/79AL  2O   3    0    0L  2327.000  6000.000              1  
 2.31482410E+01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-2.11405200E+05-1.38602050E+02 2.31482410E+01 0.00000000E+00 0.00000000E+00    3
